320000,江苏省
320000,江苏
320100,南京市
320100,南京
320102,玄武区
320102,玄武
320104,秦淮区
320104,秦淮
320105,建邺区
320105,建邺
320106,鼓楼区
320106,鼓楼
320111,浦口区
320111,浦口
320113,栖霞区
320113,栖霞
320114,雨花台区
320114,雨花台
320115,江宁区
320115,江宁
320116,六合区
320116,六合
320117,溧水区
320117,溧水
320118,高淳区
320118,高淳
320200,无锡市
320200,无锡
320202,崇安区
320202,崇安
320203,南长区
320203,南长
320204,北塘区
320204,北塘
320205,锡山区
320205,锡山
320206,惠山区
320206,惠山
320211,滨湖区
320211,滨湖
320281,江阴市
320281,江阴
320282,宜兴市
320282,宜兴
320300,徐州市
320300,徐州
320302,鼓楼区
320302,鼓楼
320303,云龙区
320303,云龙
320305,贾汪区
320305,贾汪
320311,泉山区
320311,泉山
320312,铜山区
320312,铜山
320321,丰县
320322,沛县
320324,睢宁县
320324,睢宁
320381,新沂市
320381,新沂
320382,邳州市
320382,邳州
320400,常州市
320400,常州
320402,天宁区
320402,天宁
320404,钟楼区
320404,钟楼
320405,戚墅堰区
320405,戚墅堰
320411,新北区
320411,新北
320412,武进区
320412,武进
320481,溧阳市
320481,溧阳
320482,金坛市
320482,金坛
320500,苏州市
320500,苏州
320505,虎丘区
320505,虎丘
320506,吴中区
320506,吴中
320507,相城区
320507,相城
320508,姑苏区
320508,姑苏
320509,吴江区
320509,吴江
320581,常熟市
320581,常熟
320582,张家港市
320582,张家港
320583,昆山市
320583,昆山
320585,太仓市
320585,太仓
320600,南通市
320600,南通
320602,崇川区
320602,崇川
320611,港闸区
320611,港闸
320612,通州区
320612,通州
320621,海安县
320621,海安
320623,如东县
320623,如东
320681,启东市
320681,启东
320682,如皋市
320682,如皋
320684,海门市
320684,海门
320700,连云港市
320700,连云港
320703,连云区
320703,连云
320705,新浦区
320705,新浦
320706,海州区
320706,海州
320721,赣榆县
320721,赣榆
320722,东海县
320722,东海
320723,灌云县
320723,灌云
320724,灌南县
320724,灌南
320800,淮安市
320800,淮安
320802,清河区
320802,清河
320803,淮安区
320803,淮安
320804,淮阴区
320804,淮阴
320811,清浦区
320811,清浦
320826,涟水县
320826,涟水
320829,洪泽县
320829,洪泽
320830,盱眙县
320830,盱眙
320831,金湖县
320831,金湖
320900,盐城市
320900,盐城
320902,亭湖区
320902,亭湖
320903,盐都区
320903,盐都
320921,响水县
320921,响水
320922,滨海县
320922,滨海
320923,阜宁县
320923,阜宁
320924,射阳县
320924,射阳
320925,建湖县
320925,建湖
320981,东台市
320981,东台
320982,大丰市
320982,大丰
321000,扬州市
321000,扬州
321002,广陵区
321002,广陵
321003,邗江区
321003,邗江
321012,江都区
321012,江都
321023,宝应县
321023,宝应
321081,仪征市
321081,仪征
321084,高邮市
321084,高邮
321100,镇江市
321100,镇江
321102,京口区
321102,京口
321111,润州区
321111,润州
321112,丹徒区
321112,丹徒
321181,丹阳市
321181,丹阳
321182,扬中市
321182,扬中
321183,句容市
321183,句容
321200,泰州市
321200,泰州
321202,海陵区
321202,海陵
321203,高港区
321203,高港
321204,姜堰区
321204,姜堰
321281,兴化市
321281,兴化
321282,靖江市
321282,靖江
321283,泰兴市
321283,泰兴
321300,宿迁市
321300,宿迁
321302,宿城区
321302,宿城
321311,宿豫区
321311,宿豫
321322,沭阳县
321322,沭阳
321323,泗阳县
321323,泗阳
321324,泗洪县
321324,泗洪
